Headline,URL,Author,Published
Etsy sellers are starting a ‘union’ to fight policies they say hurt merchants,https://www.theverge.com/2022/8/31/23330758/etsy-strike-boycott-indie-sellers-guild-union-fee-increase,Mia Sato,"
August31
"
The iPhone 14 Pro may have one pill-shaped notch when turned on,https://www.theverge.com/2022/8/31/23330952/apple-iphone-14-pro-single-notch-rumor,Monica Chin,"
August31
"
T-Mobile will let you try its network free for three months,https://www.theverge.com/2022/8/31/23329133/t-mobile-app-network-pass-easy-switch-esim,Allison Johnson,"
August31
"
Congress presses big crypto exchanges for details on how they’re fighting scams,https://www.theverge.com/2022/8/31/23330623/congress-coinbase-binance-ftx-cryptocurrency-scams,Emma Roth,"
August31
"
Now you can watch Paramount Plus and Showtime in a single app,https://www.theverge.com/2022/8/31/23329389/paramount-plus-showtime-streaming-app-viacom,Jasmine Hicks,"
August31
"
Google Nest’s fall-themed ringtones are coming even earlier this year,https://www.theverge.com/2022/8/31/23329855/google-nest-doorbell-fall-ringtones-halloween-oktoberfest-diwali,Mitchell Clark,"
August31
"
Tado’s smart thermostat can now heat your home when prices are cheapest,https://www.theverge.com/2022/8/31/23330324/tado-balance-smart-thermostat-subscription-usage-energy-price,Jon Porter,"
August31
"
Nanoleaf’s latest sale drops its colorful smart light starter kits to as low as $50,https://www.theverge.com/good-deals/2022/8/31/23328975/nanoleaf-shapes-lines-shokz-openrun-lenovo-thinkpad-amazon-echo-buds-samsung-chromebook-deal-sale,Sheena Vasani,"
August31
"
Crypto.com mistakenly sent a customer $7.2 million instead of a $68 refund,https://www.theverge.com/2022/8/31/23330458/crypto-dot-com-typo-mistake-refund-audit,Emma Roth,"
August31
"
Omicron-specific vaccine boosters get FDA sign-off,https://www.theverge.com/2022/8/31/23316414/omicron-vaccine-boosters-pfizer-moderna-fda-covid-19,Nicole Wetsman,"
August31
"
The open elevator door button puts kindness at our fingertips,https://www.theverge.com/2022/8/31/23318937/open-elevator-door-button-kindness,Mitchell Clark,"
August31
"
"How to order free rapid COVID tests from the US government [Update: as of this Friday, you can’t]",https://www.theverge.com/22889745/rapid-covid-tests-free-website-how-to,Barbara Krasnoff,"
August31
"
Snap is canceling several projects and laying off 20 percent of employees,https://www.theverge.com/2022/8/31/23330123/snap-layoffs-announced-original-shows-canceled-games-mini-apps,Alex Heath,"
August31
"
Oppo is bringing its Reno 8 midrange series to Europe,https://www.theverge.com/2022/8/31/23329591/oppo-reno-8-pro-light-marisilicon-x-80w-charging,Allison Johnson,"
August31
"
Nvidia Broadcast support will make virtual green screens easier in OBS Studio,https://www.theverge.com/2022/8/31/23330379/nvidia-broadcast-virtual-green-screen-obs-studio-support,Jess Weatherbed,"
August31
"
Dashlane is ready to replace all your passwords with passkeys,https://www.theverge.com/2022/8/31/23329373/dashlane-passkeys-password-manager,David Pierce,"
August31
"
What the Apple Watch Pro needs to succeed,https://www.theverge.com/2022/8/31/23323224/apple-watch-pro-wearable-smartwatch-battery,Victoria Song,"
August31
"
Portal 2 is the last free Xbox 360 Games with Gold title,https://www.theverge.com/2022/8/31/23330392/xbox-360-games-with-gold-portal-2-last-game,Tom Warren,"
August31
"
LG’s first bendable OLED TV lets you pick between flat or curved modes,https://www.theverge.com/2022/8/31/23330370/lg-oled-flex-tv-bendable-ifa-2022,Tom Warren,"
August31
"
Samsung adds more free channels and content to its TV Plus lineup,https://www.theverge.com/2022/8/30/23329219/samsung-tv-plus-adds-more-free-channels-content-fast-streaming,Emma Roth,"
August30
"
Royal Caribbean is putting SpaceX’s Starlink on its cruise ships,https://www.theverge.com/2022/8/30/23329610/royal-caribbean-spacex-starlink-cruise-ships-celebrity-silversea,Mitchell Clark,"
August30
"
Snap’s chief business officer is leaving to run ads at Netflix,https://www.theverge.com/2022/8/30/23329583/snaps-chief-business-officer-is-leaving-to-run-ads-at-netflix,Alex Heath,"
August30
"
Apple Arcade’s latest exclusive is... a Tom Hanks passion project?,https://www.theverge.com/2022/8/30/23329295/apple-arcade-tom-hanks-trivia-hanx-writer-101,Mitchell Clark,"
August30
"
Snap plans to lay off 20 percent of employees,https://www.theverge.com/2022/8/30/23329301/snap-layoffs-20-percent-employees-snapchat,Alex Heath,"
August30
"
Logitech’s new G502 X gaming mice have clicky optical buttons,https://www.theverge.com/2022/8/30/23328970/logitech-g502-x-lightspeed-plus-gaming-mouse-mice-optical-buttons-usb-c,Umar Shakir,"
August30
"
The Sony WH-1000XM5 headphones just got their first discount at Woot,https://www.theverge.com/good-deals/2022/8/30/23327362/sony-wh-1000xm5-headphones-xbox-series-s-google-pixel-phone-samsung-watch-earbuds-deal-sale,Alice Newcome-Beill,"
August30
"
Google’s open-source bug bounty aims to clamp down on supply chain attacks,https://www.theverge.com/2022/8/30/23328977/google-open-source-bug-bounty-supply-chain-hacks-dependencies,Mitchell Clark,"
August30
"
Elon Musk pushes to delay the Twitter trial while citing whistleblower’s testimony,https://www.theverge.com/2022/8/30/23329134/elon-musk-twitter-lawsuit-delay-whistleblower-testimony,Richard Lawler,"
August30
"
Netflix’s Cyberpunk: Edgerunners anime gets September release date in new trailer,https://www.theverge.com/2022/8/30/23329032/cyberpunk-edgerunners-anime-netflix-release-date,Andrew Webster,"
August30
"
Instagram is testing more ways to flag posts you’re not interested in,https://www.theverge.com/2022/8/30/23329021/instagram-explore-page-not-interested-flag-posts,Mia Sato,"
August30
"
Cox is getting into the mobile industry — again,https://www.theverge.com/2022/8/30/23328728/cox-mobile-communications-launch,Jasmine Hicks,"
August30
"
How to quickly record voice notes on your iPhone,https://www.theverge.com/23328768/record-voice-notes-iphone-how-to,Sheena Vasani,"
August30
"
